WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4586408251478 -34.5646154794604,-58.459534651853 -34.5651405919299))","2530","5007",ECHEVERRIA,"2702","2800","2701","2799",,ECHEVERRIA,CALLE,100.61,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.492355577832 -34.565087824996,-58.4934762479977 -34.5656447480392))","2592","17048","PEDRAZA, MANUELA","5202","5300","5201","5299",,MANUELA PEDRAZA,CALLE,119.98,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4704705822363 -34.5659626399586,-58.4707172166655 -34.566107698713))","2650","2083",BLANCO ENCALADA,"3492","3500","3491","3517",,BLANCO ENCALADA,CALLE,27.77,CRECIENTE,"1","Según Ley Nº 5275 aparecida en el Boletín Oficial 4657 del 12/6/2015, Blanco Encalada, entre la Av. Dr. Ricardo Balbín y la calle Comodoro C. Urtubey: Asignación de sentido circulatorio de NE a SO (implementado desde Octubre de 2013)",Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.460489186053 -34.5657014042054,-58.4615158375158 -34.5663045348781))","2673","5007",ECHEVERRIA,"2902","3000","2901","2999",,ECHEVERRIA,CALLE,115.56,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.5025595186707 -34.5664164768915,-58.5026926219658 -34.5657885334684))","2684","20116",STORNI ALFONSINA,"3602","3650","3601","3649",,ALFONSINA STORNI,CALLE,70.72,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Construcción en Mayo 2019. Antes figuraba como Bicisenda - Según Resolución 118/SECTRANS/19 publicada en el Nº 5595 del 10/04/2019,Ciclovía,VÍA LOCAL,,"12","12","12",SAAVEDRA,SAAVEDRA,SAAVEDRA
"MULTILINESTRING ((-58.4179607994944 -34.5667387432525,-58.4184063255982 -34.5665117904778,-58.4184953974207 -34.5664646391141,-58.4185485344114 -34.5664355734881,-58.4186035455151 -34.5664041141086,-58.4186479980399 -34.5663770875553,-58.4187042036368 -34.5663404876141,-58.4188062271779 -34.5662703121001,-58.4188573246325 -34.5662340623458,-58.4189233260739 -34.5661860571781,-58.418965311922 -34.5661546633226,-58.4190067871445 -34.566122917147,-58.4190753452222 -34.5660694197505,-58.4191781401299 -34.565988187631,-58.4192300057606 -34.5659475012834,-58.4192821266933 -34.5659068854295,-58.4193501730456 -34.5658545144763,-58.4194523699239 -34.5657763101404,-58.4195038939215 -34.5657372433046,-58.4195557583159 -34.5656983174169,-58.4196080478314 -34.5656603071713,-58.4196932934118 -34.5656013223209,-58.4198297934061 -34.5655297497723))","2721","6025","FIGUEROA ALCORTA, PRES. AV.","5102","5200","0","0","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,218.52,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,SI,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4554341667759 -34.5667850792761,-58.4561306915039 -34.5659751050851))","2726","1072",AMENABAR,"1702","1800","1701","1799",,AMENABAR,CALLE,110.27,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución N.° 31/SECTRANS/19 en BO 5558 del 13/02/2019 - Construcción Agosto de 2019,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4846893906276 -34.5668574744522,-58.4848144963204 -34.5667149142628,-58.4853841977776 -34.5660955037096,-58.4854980690038 -34.5659718184724))","2735","13083",MILLER,"3002","3100","3001","3099",,MILLER,CALLE,123.13,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4946442746125 -34.5662259448756,-58.4958365249366 -34.5668849425545))","2738","17048","PEDRAZA, MANUELA","5402","5500","5401","5499",,MANUELA PEDRAZA,CALLE,131.59,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4673741108586 -34.5669160421046,-58.4681600714415 -34.5659966277658))","2742","20127",SUPERI,"2202","2300","2201","2299",,SUPERI,CALLE,124.92,CRECIENTE,"1",Paso reabierto en Octubre de 2013 con ampliación de carriles,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4718660334463 -34.5667986239867,-58.4727832960177 -34.5673535678169))","2801","2083",BLANCO ENCALADA,"3602","3700","3601","3699",,BLANCO ENCALADA,CALLE,104.29,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4842529636203 -34.5673526309359,-58.484382071328 -34.5672075352496,-58.4846893906276 -34.5668574744522))","2804","13083",MILLER,"2902","3000","2901","2999",,MILLER,CALLE,67.98,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.443051756591 -34.5666309037354,-58.4437449617913 -34.5674170191432))","2814","7033","GARCIA, TEODORO","2102","2200","2101","2199",ESTECO,TEODORO GARCIA,CALLE,107.95,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4958365249366 -34.5668849425545,-58.4969423662297 -34.567496064034))","2823","17048","PEDRAZA, MANUELA","5502","5600","5501","5599",,MANUELA PEDRAZA,CALLE,122.04,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4547879473042 -34.5675365305523,-58.4554341667759 -34.5667850792761))","2827","1072",AMENABAR,"1602","1700","1601","1699",,AMENABAR,CALLE,102.3,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución N.° 31/SECTRANS/19 en BO 5558 del 13/02/2019 - Construcción Agosto de 2019,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.501517502206 -34.5676754958421,-58.5016141560744 -34.5675539137191,-58.5025595186707 -34.5664164768915))","2843","3115",CERETTI,"3502","3600","3501","3599",,CERETTI,CALLE,169.27,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4974862243837 -34.5677966938505,-58.4980278724591 -34.5680959838007))","2903","17048","PEDRAZA, MANUELA","5652","5700","5651","5699",,MANUELA PEDRAZA,CALLE,59.78,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4167287020711 -34.5681129559113,-58.4168107301404 -34.5680306615304,-58.4168446324384 -34.5679951807441,-58.4168820303627 -34.5679502644622,-58.4169179835456 -34.56790077006,-58.4169577042884 -34.5678119804874,-58.4169750986765 -34.5677624085963,-58.4169875552082 -34.5677131869491,-58.417002319804 -34.5676467827201,-58.4170180281981 -34.5675670687106,-58.4170286278916 -34.5674887612418,-58.417055748286 -34.5674010232145,-58.4170782545036 -34.5673440587215,-58.417098631551 -34.567288642746,-58.4171241939088 -34.5672471022566,-58.4171914907896 -34.5671688866266,-58.4172281182483 -34.5671307306457,-58.4172755581773 -34.5670910294025,-58.4173402823401 -34.5670464753928,-58.4173848214042 -34.5670182521272,-58.417435916801 -34.5669877073164,-58.4175086403669 -34.5669481563262,-58.4176052896961 -34.5669012197299,-58.4176559557465 -34.5668771536743,-58.4177518373895 -34.5668326815146,-58.4179607994944 -34.5667387432525))","2907","6025","FIGUEROA ALCORTA, PRES. AV.","5052","5100","0","0","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,201.05,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,SI,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4635878287995 -34.5675323198456,-58.4647007649778 -34.5681909174294))","2916","5007",ECHEVERRIA,"3202","3300","3201","3299",,ECHEVERRIA,CALLE,125.58,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4437449617913 -34.5674170191432,-58.4442842154906 -34.5680286663842,-58.4444451614062 -34.5682008076036))","2919","7033","GARCIA, TEODORO","2202","2300","2201","2299",ESTECO,TEODORO GARCIA,CALLE,108.12,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4834142210722 -34.5682968057703,-58.4835238415014 -34.5681727005747,-58.4842529636203 -34.5673526309359))","2933","13083",MILLER,"2802","2900","2801","2899",,MILLER,CALLE,129.98,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4991395363739 -34.5687106752111,-58.4997400376538 -34.569042969071))","3041","17048","PEDRAZA, MANUELA","5802","5850","5801","5849",,MANUELA PEDRAZA,CALLE,66.3,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación según Res. 190/SECTRANS/18 en BO 5371 del 11/05/2018",,Construcción Octubre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4532836528637 -34.5684080542618,-58.4538391470151 -34.5691175498807))","3050","16011","OLAGUER Y FELIU, VIRREY","2602","2700","2601","2699",OLAGUER,VIRREY OLAGUER Y FELIU,CALLE,93.77,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación",,Construcción Noviembre de 2019 - Según Resolución N.° 31/SECTRANS/19 en BO 5558 del 13/02/2019,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4825777582957 -34.5692415377302,-58.4826989568513 -34.5691067974432,-58.4834142210722 -34.5682968057703))","3068","13083",MILLER,"2702","2800","2701","2799",,MILLER,CALLE,129.91,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4737771249144 -34.5694295155725,-58.4745984459311 -34.5684518164801))","3099","21059",TRONADOR,"2302","2400","2301","2399",ESTOMBA Y PLAZA,TRONADOR,CALLE,132.08,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4520814358719 -34.570132773979,-58.4529199830751 -34.5696484720326))","3194","13099",MOLDES,"1202","1300","1201","1299",,MOLDES,CALLE,93.85,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4765316510114 -34.5696272098951,-58.4774534890862 -34.5701900053569))","3199","2083",BLANCO ENCALADA,"4102","4200","4101","4199",,BLANCO ENCALADA,CALLE,105.14,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4730146044763 -34.5703372028876,-58.4737771249144 -34.5694295155725))","3223","21059",TRONADOR,"2202","2300","2201","2299",ESTOMBA Y PLAZA,TRONADOR,CALLE,122.62,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4515908527365 -34.5704160435584,-58.4520814358719 -34.570132773979))","3228","13099",MOLDES,"1152","1200","1151","1199",,MOLDES,CALLE,54.9,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4133537308757 -34.5705197695813,-58.4153027549752 -34.569121227174,-58.4155376908144 -34.5689573175261))","3237","6025","FIGUEROA ALCORTA, PRES. AV.","4002","4800","4001","4799","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,264.97,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,SI,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4641545814659 -34.5706351981648,-58.4649371489156 -34.5710895656238))","3323","12168",LA PAMPA,"3402","3500","3401","3499","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,87.74,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4809029899131 -34.5711393647411,-58.4810159373856 -34.5710120218722,-58.4817343830247 -34.5701966876072))","3342","13083",MILLER,"2502","2600","2501","2599",,MILLER,CALLE,129.45,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4986208031131 -34.5712824282394,-58.4987132967566 -34.5711679625064,-58.4994406452489 -34.5702715339436))","3358","3115",CERETTI,"3202","3300","3201","3299",,CERETTI,CALLE,135.04,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4124819976115 -34.5711451970856,-58.4133537308757 -34.5705197695813))","3376","6025","FIGUEROA ALCORTA, PRES. AV.","3912","4000","3911","3999","CENTENARIO, Av.",AV.PRES. FIGUEROA ALCORTA,AVENIDA,105.892153884953,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,SI,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4493961474464 -34.5715744988264,-58.4501761324608 -34.5712124651656,-58.450341904251 -34.5711267064869))","3397","13099",MOLDES,"902","1000","901","999",,MOLDES,CALLE,100.02,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4793201917672 -34.5713296570071,-58.4800987659038 -34.5718049844937,-58.4802371289843 -34.5718897558171))","3438","2083",BLANCO ENCALADA,"4402","4500","4401","4499",,BLANCO ENCALADA,CALLE,104.6,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4802371289843 -34.5718897558171,-58.4809029899131 -34.5711393647411))","3439","13083",MILLER,"2402","2500","2401","2499",,MILLER,CALLE,103.26,CRECIENTE,"1",,Ciclovías,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Noviembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4466988855942 -34.5711092932244,-58.4472316770371 -34.5719152963213))","3441","7033","GARCIA, TEODORO","2502","2600","2501","2599",ESTECO,TEODORO GARCIA,CALLE,101.91,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4486412731096 -34.5719234316432,-58.4487828655392 -34.5718591514929,-58.4493961474464 -34.5715744988264))","3444","13099",MOLDES,"802","900","801","899",,MOLDES,CALLE,79.35,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4433398331155 -34.5719985969018,-58.4443507240108 -34.5713164202861))","3456","27007",ZAPATA,"534","600","531","599",,ZAPATA,CALLE,119.72,CRECIENTE,"1",,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4714489060478 -34.5721748195153,-58.4717601274464 -34.5718100022533))","3483","21059",TRONADOR,"2002","2050","2001","2049",ESTOMBA Y PLAZA,TRONADOR,CALLE,49.53,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4785071450677 -34.5722474555889,-58.4793201917672 -34.5713296570071))","3495","12151",LUGONES,"2302","2400","2301","2399",,LUGONES,CALLE,126.23,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noreste, en doble sentido de circulación",,Construcción Enero de 2019,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4660002520793 -34.5717039958091,-58.4671180301405 -34.5723545424621))","3505","12168",LA PAMPA,"3602","3682","3601","3699","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,125.42,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4472316770371 -34.5719152963213,-58.4475613149778 -34.5724139408532))","3512","7033","GARCIA, TEODORO","2602","2700","2601","2699",ESTECO,TEODORO GARCIA,CALLE,63.05,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4475613149778 -34.5724139408532,-58.4486412731096 -34.5719234316432))","3513","13099",MOLDES,"702","800","701","799",,MOLDES,CALLE,113.06,CRECIENTE,"1",Asignación de Sentido único de SE a NO de Circulación según Res. 136/SSTRANS/14 en B.O. 4377 del 14/4/2014 - Confirmación según Res. Nº 42/SSTRANS/15 en B.O. 4574 del 05/02/2015 - Confirmación según Ley Nº 5406 en B.O. 4801 del 15/1/2016,Ciclovías,,,Construcción Año 2015,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4463336420784 -34.5724326500061,-58.4472316770371 -34.5719152963213))","3515","1072",AMENABAR,"702","800","701","799",,AMENABAR,CALLE,100.42,CRECIENTE,"1",corrección numeración 27-1,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4671180301405 -34.5723545424621,-58.467364677469 -34.5724964387585))","3525","12168",LA PAMPA,"3684","3700","3701","3739","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,27.57,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4710804771 -34.5726149932468,-58.4714489060478 -34.5721748195153))","3540","21059",TRONADOR,"1952","2000","1951","1999",ESTOMBA Y PLAZA,TRONADOR,CALLE,59.39,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.467364677469 -34.5724964387585,-58.4680816367273 -34.5729090971098))","3578","12168",LA PAMPA,"3702","3784","3741","3799","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,80.15,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"0","15","13",,VILLA ORTUZAR,BELGRANO
"MULTILINESTRING ((-58.4448956518346 -34.5721984933002,-58.445412931188 -34.5730356292319))","3593","16022",OLLEROS,"2602","2700","2601","2699",OMBUES,OLLEROS,CALLE,104.3,CRECIENTE,"1",Asignación de Sentido luego de la Inauguración del Túnel de Lacroze en Octubre de 2013,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.445412931188 -34.5730356292319,-58.4463336420784 -34.5724326500061))","3594","1072",AMENABAR,"602","700","601","699",,AMENABAR,CALLE,107.76,CRECIENTE,"1",corrección numeración 27-1,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4706985925528 -34.5730547441072,-58.4710804771 -34.5726149932468))","3598","21059",TRONADOR,"1902","1950","1901","1949",ESTOMBA Y PLAZA,TRONADOR,CALLE,60.07,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4617309130959 -34.5734324305684,-58.4631563746389 -34.571788252645))","3645","20127",SUPERI,"1502","1700","1501","1699",,SUPERI,CALLE,224.45,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4406860906116 -34.573753098786,-58.4408716408088 -34.5736239755258,-58.4417045156507 -34.5730741851873))","3689","27007",ZAPATA,"302","400","301","399",,ZAPATA,CALLE,120.03,CRECIENTE,"1",,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
