WKT,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,ciclo_obse,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP
"MULTILINESTRING ((-58.4784088012884 -34.5707732830398,-58.4793201917672 -34.5713296570071))","3367","2083",BLANCO ENCALADA,"4302","4400","4301","4399",,BLANCO ENCALADA,CALLE,103.94,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4118672685056 -34.5713688877929,-58.4115445381267 -34.5711048210009))","3375","20075",SARMIENTO AV.,"4102","4200","0","0",,AV. SARMIENTO,AVENIDA,41.6562020848574,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2016,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,SI,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4649371489156 -34.5710895656238,-58.4660002520793 -34.5717039958091))","3413","12168",LA PAMPA,"3502","3600","3501","3599","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,119.01,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción en Septiembre de 2018,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4631563746389 -34.571788252645,-58.4641545814659 -34.5706351981648))","3422","20127",SUPERI,"1702","1800","1701","1799",,SUPERI,CALLE,157.33,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2014,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"13","13","13",BELGRANO,BELGRANO,BELGRANO
"MULTILINESTRING ((-58.4717601274464 -34.5718100022533,-58.4722524067027 -34.5712327019357))","3428","21059",TRONADOR,"2052","2100","2051","2099",ESTOMBA Y PLAZA,TRONADOR,CALLE,78.37,CRECIENTE,"1",,Ciclovías Proyectadas,"Por calzada paralela y adyacente a la vereda suroeste, en doble sentido de circulación",,Según Resolución 593/SECTRANS/19 del BO 5757 del 09/12/2019 (Informada como proyectada por Transporte en Noviembre de 2019),Ciclovía proyectada,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4124658071419 -34.572148661203,-58.4123039189711 -34.5719420402468,-58.4121996215506 -34.5718122757194,-58.4121436644075 -34.5717105601002,-58.412115954802 -34.5716376596969))","3480","20075",SARMIENTO AV.,"3902","4000","0","0",,AV. SARMIENTO,AVENIDA,65.4761583939932,DECRECIENTE,"-1",,Ciclovías,,,Construcción Año 2016,Ciclovía,VÍA DISTRIBUIDORA PRINCIPAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4137313884089 -34.5720971383972,-58.4134346438125 -34.5720296922426,-58.4131416174744 -34.572009219666,-58.4127801955233 -34.5720407613938,-58.4124658071419 -34.572148661203))","3481","9016",IRAOLA AV.,"0","0","0","0",,AV. IRAOLA,AVENIDA,119.81,CRECIENTE,"1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4443507240108 -34.5713164202861,-58.4448956518346 -34.5721984933002))","3486","16022",OLLEROS,"2502","2600","2501","2599",OMBUES,OLLEROS,CALLE,109.89,CRECIENTE,"1",Asignación de Sentido luego de la Inauguración del Túnel de Lacroze en Octubre de 2013,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4427936822044 -34.5723561192011,-58.4433398331155 -34.5719985969018))","3508","27007",ZAPATA,"502","532","501","529",,ZAPATA,CALLE,63.91,CRECIENTE,"1",,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4977351655595 -34.5723779146062,-58.4986208031131 -34.5712824282394))","3511","3115",CERETTI,"3102","3200","3101","3199",,CERETTI,CALLE,146.2,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4802371289843 -34.5718897558171,-58.4816378048525 -34.5727476692693))","3557","2083",BLANCO ENCALADA,"4502","4600","4501","4599",,BLANCO ENCALADA,CALLE,159.93,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4154918613415 -34.5729438433954,-58.41527843869 -34.5727679110492,-58.4150285521342 -34.5726374577755,-58.4147287874404 -34.5724878288391,-58.4143982099941 -34.5723286795907,-58.4141175900986 -34.5722013107813,-58.4137313884089 -34.5720971383972))","3580","9016",IRAOLA AV.,"0","0","0","0",,AV. IRAOLA,AVENIDA,188.64,CRECIENTE,"1",,Bicisendas preexistentes,,,,Bicisenda preexistente,VÍA LOCAL,,"14","14","14",PALERMO,PALERMO,PALERMO
"MULTILINESTRING ((-58.4680816367273 -34.5729090971098,-58.4682879308491 -34.573026767265))","3589","12168",LA PAMPA,"3786","3800","3801","3819","TORNQUINST, E. - PAMPA",LA PAMPA,CALLE,22.99,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noroeste, en doble sentido de circulación, según Resolución N.° 443/SECTRANS/18 en BO 5463 publicado el 24/09/2018",,Construcción Año 2013,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,"0","15","12",,VILLA ORTUZAR,VILLA URQUIZA
"MULTILINESTRING ((-58.4417045156507 -34.5730741851873,-58.4426128229604 -34.5724745417661,-58.4427936822044 -34.5723561192011))","3603","27007",ZAPATA,"402","500","401","499",,ZAPATA,CALLE,127.81,CRECIENTE,"1",,Ciclovías,,,Construcción en Agosto de 2018,Ciclovía,VÍA LOCAL,,"13","13","13",COLEGIALES,COLEGIALES,COLEGIALES
"MULTILINESTRING ((-58.4777322997093 -34.5731221446559,-58.4785071450677 -34.5722474555889))","3613","12151",LUGONES,"2202","2300","2201","2299",,LUGONES,CALLE,120.3,DECRECIENTE,"-1",,Ciclovías,"Por calzada paralela y adyacente a la vereda noreste, en doble sentido de circulación",,Construcción Enero de 2019,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4816378048525 -34.5727476692693,-58.4824974623581 -34.5732498710777))","3625","2083",BLANCO ENCALADA,"4602","4700","4601","4699",,BLANCO ENCALADA,CALLE,96.57,CRECIENTE,"1",corrección altura 9-1-03,Ciclovías,"Por calzada paralela y adyacente a la vereda sureste, en doble sentido de circulación según Res. 339/SECTRANS/18 en BO 5423 del 27/07/2018",,Construcción Diciembre de 2018,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
"MULTILINESTRING ((-58.4969608095535 -34.5733363187429,-58.4970787508859 -34.5731898747981,-58.4977351655595 -34.5723779146062))","3638","3115",CERETTI,"3002","3100","3001","3099",,CERETTI,CALLE,127.88,CRECIENTE,"1",,Ciclovías,,,Construcción Año 2010,Ciclovía,VÍA LOCAL,,"12","12","12",VILLA URQUIZA,VILLA URQUIZA,VILLA URQUIZA
